id,created_at,updated_at,product_code,title,description,model_size,model_height,fabric_stretch,fabric_material,main_fiber_content,care_advice,care_instructions,price,markdown
26,2019-07-26 17:10:54.306447,2019-09-10 22:39:54.836386,1495621,Pull&Bear frille detail button front midi dress in green,Add-to-bag potential: considerable,Model wears: UK 8/ EU 36/ US 4,Model's height:  170cm/5'7,"",Pure cotton. It's light and breathable.,Main: 100% Cotton.  ,"","Just here for the care instructions? Yeah, we thought so. Hand wash only.",16.0,0.0
18,2019-07-26 17:10:54.232849,2019-09-10 22:39:55.011152,1443662,ASOS DESIGN Curve lounge soft linen look jumpsuit,For your daytime thing,Model wears: UK 18/ EU 46/ US 14,Model's height: 174cm/5'8.5,"","Textured, linen-mix fabric",Body: 91% Viscose  9% Linen. ,"","Just here for the care instructions? Yeah, we thought so. Machine wash according to instructions on care label.",26.0,0.0
22,2019-07-26 17:10:54.246156,2019-09-10 22:39:55.019389,1432684,ASOS DESIGN Petite bias cut satin slip skirt in cherry print,For your daytime thing,Model wears: UK 6/ EU 34/ US 2,Model's height:  158 cm/5'2,"",Smooth woven fabric,Main: 100% Polyester.  ,"",Avoid post-wash regrets. Always check the label.,39.9,0.0
2,2019-07-26 17:10:54.159087,2019-07-26 17:11:29.816601,1400460,Wild Honey tie shoulder sun dress,,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,Stretchy swim fabric,"",Body: 100% Rayon.,"","",64.0,0.0
20,2019-07-26 17:10:54.239316,2019-09-10 22:39:54.61379,1477365,Stradivarius tie waist linen striped pants in pink,Striped design,Model wears: UK S/ EU S/ US XS,Model's height: 175cm/5'9,"",Cotton-rich woven fabric,Main: 57% Cotton  43% Viscose. ,"","Check the label before you wash it. Fresh looks are for life, not just one wash.",24.0,0.0
9,2019-07-26 17:10:54.199058,2019-09-10 22:39:53.701768,1463827,ASOS DESIGN Tall top with broidery sleeve,For your daytime thing,Model wears: UK 8/ EU 36/ US 4,Model's height: 180cm/5'11,"",Soft jersey. Go-with-everything jersey. We partner with the Better Cotton Initiative to improve cotton farming globally. This makes it better for farmers and the environment. BCI provides farming-practice training. It promotes things like water efficiency and reducing the most harmful chemicals.,Body: 91% Viscose,"","Just here for the care instructions? Yeah, we thought so. Machine wash according to instructions on care label.",67.0,0.0
25,2019-07-26 17:10:54.302326,2019-09-10 22:39:54.832204,1416233,ASOS DESIGN Petite crop tank in linen mix in black,A wardrobe staple,Model wears: UK 6/ EU 34/ US 2,Model's height: 164cm/5'4.5,"",Linen-mix jersey. Textured.,Main: 100% Cotton.,"",Just here for the care instructions? We've got you covered. Hand wash only.,49.9,0.0
10,2019-07-26 17:10:54.205809,2019-09-10 22:39:54.744139,1452985,ASOS DESIGN color block pleated midi skirt in scuba,Worth making plans for,Model wears: UK 8/ EU 36/ US 4,Model's height: 173cm/5'8,"","Thick, scuba-style fabric",Main: 94% Polyester  6% Spandex. ,"","For best results, check the label before you wash. For worst results, ignore and leave on the floor.",35.0,0.0
15,2019-07-26 17:10:54.223174,2019-09-10 22:39:54.263565,1477365,Stradivarius tie waist linen striped pants in pink,Striped design,Model wears: UK S/ EU S/ US XS,Model's height: 175cm/5'9,"",Cotton-rich woven fabric,Main: 57% Cotton 43% Viscose. ,"","The label may be small, but it's important. Machine wash according to instructions on care label.",24.0,0.0
5,2019-07-26 17:10:54.175517,2019-09-10 22:39:54.276332,1485946,Pull&Bear v neck mini dress in peach,Daytime dressing made easy,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,"","Soft, ribbed jersey. For a textural switch-up.",Main: 66% Polyester  30% Viscose  4% Spandex.,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,26.0,0.0
21,2019-07-26 17:10:54.24259,2019-09-10 22:39:54.988007,1447083,The North Face Class V Hike Short 2.0 in black,For your daytime thing,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,"",Smooth woven fabric. Uses The North Face FlashDry-XD technology. Moves sweat away from the skin to help keep you dry and comfortableAbrasion and snag-resistant.,Body: 100% Polyester,"","The label may be small, but it's important. Machine wash according to instructions on care label.",48.0,0.0
16,2019-07-26 17:10:54.226562,2019-09-10 22:39:54.587561,1456559,ASOS DESIGN mini slubby cami swing dress with faux wood buttons,For your daytime thing,Model wears: UK 8/ EU 36/ US 4,Model's height: 178cm/5'10,"",Everyday T-shirt fabric. Basic in the best way.,Main: 95% Polyester,"","Just here for the care instructions? Yeah, we thought so. Machine wash according to instructions on care label.",23.0,0.0
6,2019-07-26 17:10:54.181136,2019-09-10 22:39:55.04411,1467182,Simply Be swing dress in green snake print with floral,It’s everything you’ve been scrolling for,Model wears: UK 18/ EU 46/ US 14,Model's height: 178cm/5'10,"",Soft jersey. Just like that T-shirt you've got.,Main: 95% Polyester,"","Clothes have needs, Machine wash according to instructions on care label.",60.0,0.0
3,2019-07-26 17:10:54.164657,2019-09-10 22:39:54.409133,1419961,Wild Honey tie shoulder sun dress,"Yeah, we like this one, too",Model wears: UK S/ EU S/ US XS,Model's height: 170cm/5'7,"",Lightweight woven fabric,Body: 100% Rayon.  ,"","The label may be small, but it's important. Hand wash only.",35.0,0.0
19,2019-07-26 17:10:54.23637,2019-09-10 22:39:54.442416,1423479,ASOS DESIGN denim wrap tie front midi skirt in off white,An alternative to your denim,Model wears: UK 8/ EU 36/ US 4,Model's height: 175cm/5'9,"",Non-stretch denim. Thick.,Main: 100% Cotton.  ,"","Just here for the care instructions? Yeah, we thought so. Machine wash according to instructions on care label.",30.0,0.0
14,2019-07-26 17:10:54.220012,2019-09-10 22:39:54.455221,1400460,Peek & Beau Curve Exclusive Eco scoop swimsuit with drawstring channel waist in floral,Just add water,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,"",Stretchy swim fabric,Main: 95% Polyester,"","The label may be small, but it's important. Hand wash only.",64.0,0.0
13,2019-07-26 17:10:54.216543,2019-09-10 22:39:55.064737,1433690,ASOS DESIGN kimono maxi dress in linear sequin,For that thing you have to go to,Model wears: UK 8/ EU 36/ US 4,Model's height: 168cm/5'6,"",Lightweight woven fabric,Main: 68% Cotton,"","The label may be small, but it's important. Machine wash according to instructions on care label.",57.0,0.0
8,2019-07-26 17:10:54.192402,2019-09-10 22:39:55.04825,1456546,ASOS DESIGN Tall one shoulder peplum top in snake print,Introduce it to your friends,Model wears: UK 8/ EU 36/ US 4,Model's height: 180cm/5'11,"",Go-with-everything jersey. It's a soft all-rounder.,Main: 95% Polyester,"","The label may be small, but it's important. Hand wash only.",23.0,0.0
24,2019-07-26 17:10:54.297488,2019-09-10 22:39:54.963664,1455749,Pull&Bear pacific wrap top in yellow polka dot print,Part of a two-piece set,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,"",Lightweight woven fabric,Main: 100% Viscose.  ,"",Unless you're about that multicoloured life. Dry clean only.,13.0,0.0
31,2019-07-26 17:10:54.323345,2019-07-26 17:10:54.323345,1423479,Stradivarius tie waist linen striped pants in pink,,Model wears: UK 8/ EU 36/ US 4,Model's height: 175cm/5'9,Non-stretch denim,Non-stretch denimThick,"",Main: 100% Cotton.,"",30.0,0.0
35,2019-07-26 17:10:54.335682,2019-07-26 17:10:54.335682,1456546,ASOS DESIGN Tall top with broidery sleeve,,Model wears: UK 8/ EU 36/ US 4,Model's height: 180cm/5'11,Go-with-everything jersey,Go-with-everything jerseyIt's a soft all-rounder,"",3% Spandex.,"",23.0,0.0
39,2019-07-26 17:10:54.348236,2019-07-26 17:10:54.348236,1419961,The North Face Shine On t-shirt in pink with pocket,,Model wears: UK S/ EU S/ US XS,Model's height: 170cm/5'7,"",Lightweight woven fabric,"",Body: 100% Rayon.,"",35.0,0.0
42,2019-07-26 17:10:54.35734,2019-07-26 17:10:54.35734,1419961,The North Face Shine On t-shirt in pink with pocket,,Model wears: UK S/ EU S/ US XS,Model's height: 170cm/5'7,"",Lightweight woven fabric,"",Body: 100% Rayon.,"",35.0,0.0
51,2019-07-26 17:10:54.385348,2019-07-26 17:10:54.385348,1463827,ASOS DESIGN color block pleated midi skirt in scuba,,Model wears: UK 8/ EU 36/ US 4,Model's height: 180cm/5'11,Soft jersey,Soft jerseyWe partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals,"",Lace Trim: 100% Cotton,"",67.0,0.0
46,2019-07-26 17:10:54.369569,2019-09-10 22:39:54.543605,1476240,Pull&Bear slim mom stretch jeans in dark blue,Wear them again and again,Model wears: UK 8/ EU 36/ US 4,Model's height: 165cm/5'5,"",Stretch denim,Main: 98% Cotton  2% Spandex. ,"",Clothes have needs too y'know. Machine wash according to instructions on care label.,60.0,0.0
33,2019-07-26 17:10:54.32946,2019-09-10 22:39:53.90078,1456736,adidas Originals adicolor cropped hoodie in white,A wardrobe staple,Model wears: UK 8/ EU 36/ US 4,Model's height:  175 cm/5'9,"",Soft-touch sweatshirt fabric. Style and comfort – it's a lifestyle.,Main: 95% Polyester,"",Avoid post-wash regrets. Always check the label.,35.0,0.0
47,2019-07-26 17:10:54.372734,2019-09-10 22:39:54.05037,1456736,adidas Originals adicolor cropped hoodie in white,A wardrobe staple,Model wears: UK 8/ EU 36/ US 4,Model's height:  175 cm/5'9,"",Soft-touch sweatshirt fabric. Style and comfort – it's a lifestyle.,Main: 95% Polyester,"",Avoid post-wash regrets. Always check the label.,35.0,0.0
32,2019-07-26 17:10:54.326429,2019-09-10 22:39:54.639658,1400321,Peek & Beau Curve Exclusive Eco sleeve bikini top in floral,Just add water,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,"",Stretchy swim fabric,Body: 95% Cotton,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,60.0,0.0
44,2019-07-26 17:10:54.363501,2019-09-10 22:39:54.934039,1489286,Pull&Bear belted cargo utility skirt in camel,Add-to-bag potential: considerable,Model wears: UK S/ EU S/ US S,Model's height:  170cm/5'7,"",Soft twill. Ribbed.,Main: 93% Polyester,"","The label may be small, but it's important. Machine wash according to instructions on care label.",26.0,0.0
38,2019-07-26 17:10:54.344981,2019-09-10 22:39:54.998698,1456386,Pull&Bear Pacific swimsuit in tropical floral print,Just add water,Model wears: UK S/ EU S/ US XS,Model's height: 171cm/5'7.5,"",Stretchy swim fabric,Body: 100% Polyester.,"","Just here for the care instructions? Yeah, we thought so. Machine wash according to instructions on care label.",64.0,0.0
30,2019-07-26 17:10:54.320041,2019-09-10 22:39:54.789562,1476237,Pull&Bear dress with crochet detail in white,For your daytime thing,Model wears: UK S/ EU S/ US XS,Model's height:  170cm/5'7,"",Lightweight viscose. Soft and drapey.,Main: 100% Viscose.  ,"",Just here for the care instructions? We've got you covered. Hand wash only.,45.0,0.0
41,2019-07-26 17:10:54.354362,2019-09-10 22:39:54.678984,1485926,Pull&Bear graphic motif t shirt in white,Throw on and go,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,"",Everyday T-shirt fabric. Basic in the best way.,Main: 95% Polyester,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,64.0,0.0
52,2019-07-26 17:10:54.388664,2019-09-10 22:39:55.039636,1489286,Pull&Bear belted cargo utility skirt in camel,Add-to-bag potential: considerable,Model wears: UK S/ EU S/ US S,Model's height:  170cm/5'7,"",Soft twill. Ribbed.,Main: 100% Cotton.  ,"","Just here for the care instructions? Yeah, we thought so. Machine wash according to instructions on care label.",26.0,0.0
40,2019-07-26 17:10:54.351158,2019-09-10 22:39:54.33037,1400317,Peek & Beau Curve Exclusive Eco stripe padded bandeau bikini with dusty pink frill,Just add water,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,"",Stretchy swim fabric,Main: 95% Polyester,"","Just here for the care instructions? Yeah, we thought so. Machine wash according to instructions on care label.",19.0,0.0
54,2019-07-26 17:10:54.39492,2019-09-10 22:39:54.920606,1400317,Peek & Beau Curve Exclusive Eco stripe padded bandeau bikini with dusty pink frill,Just add water,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,"",Stretchy swim fabric,Body: 100% Cotton,"",Just here for the care instructions? We've got you covered. Hand wash only.,19.0,0.0
81,2019-07-26 17:10:54.481148,2019-09-10 22:39:54.983668,1466811,Simply Be lace Brazilian brief with blush underlay in black,"Yeah, we like these too",Model wears: UK 18/ EU 46/ US 14,Model's height:  180 cm/5'11,"",Stretch lace,Main: 85% Polyamide,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,42.0,0.0
27,2019-07-26 17:10:54.309594,2019-09-10 22:39:55.02418,1465286,ASOS DESIGN going out one shoulder bodycon mini dress,"If you didn't have plans, now you do",Model wears: UK 8/ EU 36/ US 4,Model's height: 176cm/5'9.5,"",Super-stretch fabric ,Fabric: 96% Viscose  4% Spandex. ,"","Just here for the care instructions? Yeah, we thought so. Machine wash according to instructions on care label.",21.0,0.0
53,2019-07-26 17:10:54.391673,2019-09-10 22:39:54.565867,1400328,Peek & Beau Curve Exclusive Eco high waist bikini bottom in floral,Just add water,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,"",Stretchy swim fabric,Lining: 100% Polyester,"",Don’t just pile on the chair. Wash according to instructions on care label.,42.0,0.0
48,2019-07-26 17:10:54.375788,2019-09-10 22:39:54.47823,1404338,ASOS DESIGN high neck long sleeve open back pencil dress in metallic chainmail,For that thing you have to go to,Model wears: UK 8/ EU 36/ US 4,Model's height:  173 cm/5'8,"",Lightweight knit,Body: 100% Polyester,"","Clothes have needs, Machine wash according to instructions on care label.",13.0,0.0
28,2019-07-26 17:10:54.313096,2019-09-10 22:39:55.006929,1485938,Pull&Bear linen ruffle edge two-piece top in beige,Part of a two-piece set,Model wears: UK S/ EU S/ US XS,Model's height:  170cm/5'7,"","Textured, linen-mix fabric",Main: 76% Viscose  24% Linen. ,"","The label may be small, but it's important. Machine wash according to instructions on care label.",23.0,0.0
34,2019-07-26 17:10:54.332569,2019-09-10 22:39:54.970388,1481044,Stradivarius linen blazer in stripe with matching pants in pink,Part of a two-piece set,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,"",Cotton-rich woven fabric,Main: 57% Cotton  43% Viscose. ,"","Just here for the care instructions? Yeah, we thought so. Hand wash only.",35.0,0.0
60,2019-07-26 17:10:54.414056,2019-07-26 17:10:54.414056,1455749,ASOS DESIGN Petite crop tank in linen mix in black,,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,"",Lightweight woven fabric,"",Main: 100% Viscose.,"",13.0,0.0
64,2019-07-26 17:10:54.426932,2019-07-26 17:10:54.426932,1400460,Wild Honey tie shoulder sun dress,,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,Stretchy swim fabric,"","","","",64.0,0.0
65,2019-07-26 17:10:54.430098,2019-07-26 17:10:54.430098,1423479,Stradivarius tie waist linen striped pants in pink,,Model wears: UK 8/ EU 36/ US 4,Model's height: 175cm/5'9,Non-stretch denim,Non-stretch denimThick,"",Main: 100% Cotton.,"",30.0,0.0
66,2019-07-26 17:10:54.433192,2019-07-26 17:10:54.433192,1485946,Simply Be swing dress in green snake print with floral,,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,"Soft, ribbed jerseyFor a textural switch-up",Soft,Main: 95% Polyester,Main: 66% Polyester  30% Viscose  4% Spandex.,30% Viscose  4% Spandex.,26.0,0.0
73,2019-07-26 17:10:54.455643,2019-07-26 17:10:54.455643,1495621,ASOS DESIGN going out one shoulder bodycon mini dress,,Model wears: UK 8/ EU 36/ US 4,Model's height:  170cm/5'7,Pure cotton,Pure cottonIt's light and breathable,Body: 100% Cotton.,Main: 100% Cotton.,"",16.0,0.0
82,2019-07-26 17:10:54.484316,2019-07-26 17:10:54.484316,1456736,ASOS DESIGN Tall one shoulder peplum top in snake print,,Model wears: UK 8/ EU 36/ US 4,Model's height:  175 cm/5'9,Soft-touch sweatshirt fabric,Soft-touch sweatshirt fabricStyle and comfort it's a lifestyle,"","","",35.0,0.0
77,2019-07-26 17:10:54.468558,2019-09-10 22:39:54.626649,1470437,adidas Originals RYV taping cropped t-shirt in periwinkle,Designed in collaboration with adidas. Originals and Kylie Jenner.,Model wears: UK XS/ EU XS/ US XS,Model's height: 175 cm/5'9,"",Soft-touch jersey,Body: 100% Cotton.  ,"",Avoid post-wash regrets. Always check the label.,40.0,0.0
76,2019-07-26 17:10:54.465046,2019-09-10 22:39:54.824055,1415537,Simply Be Chloe high waist skinny jeans in white with black polka dots,It’s everything you’ve been scrolling for,Model wears: UK 18/ EU 46/ US 14,Model's height: 178cm/5'10,"",Stretch denim,Main: 80% Cotton  17% Viscose  3% Spandex.,"","The label may be small, but it's important. Machine wash according to instructions on care label.",30.0,0.0
72,2019-07-26 17:10:54.452633,2019-09-10 22:39:54.979673,1436503,ASOS DESIGN maternity mix & match pyjama jersey pants,You're invited to this PJ party,Model wears: UK 8/ EU 36/ US 4,Model's height:  174 cm/5'8.5,"",Soft jersey. We partner with the Better Cotton Initiative to improve cotton farming globally. This makes it better for farmers and the environment. BCI provides farming-practice training. It promotes things like water efficiency and reducing the most harmful chemicals.,Main: 85% Polyamide,"","We don’t like to label, but this one comes in handy. Follow the instructions before you wash it.",35.0,0.0
68,2019-07-26 17:10:54.439831,2019-09-10 22:39:54.656771,1400430,Peek & Beau Curve Exclusive Eco cut out swimsuit in contrast stripe,Just add water,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,"",Stretchy swim fabric,Main: 95% Polyester,"",Just here for the care instructions? We've got you covered. Hand wash only.,19.0,0.0
67,2019-07-26 17:10:54.436703,2019-09-10 22:39:54.600624,1400330,Peek & Beau Curve Exclusive rib triangle bikini top in yellow,Just add water,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,"",Stretchy swim fabric. Best paired with pools.,Main: 95% Polyester  5% Spandex. ,"","The label may be small, but it's important. Hand wash only.",54.0,0.0
61,2019-07-26 17:10:54.417014,2019-09-10 22:39:54.959548,1477427,Stradivarius palazzo pant in yellow,For your daytime thing,Model wears: UK S/ EU S/ US S,Model's height: 174cm/5'8.5,"",Soft woven fabric,Main: 100% Polyester.  ,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,40.5,0.0
75,2019-07-26 17:10:54.461932,2019-09-10 22:39:54.2421,1460863,Stradivarius boxy denim jacket in light blue,Cuz you're hot then you're cold,Model wears: UK S/ EU S/ US XS,Model's height: 179cm/5'10.5,"",Non-stretch denim. Thick.,Main: 100% Cotton.  ,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,28.0,0.0
63,2019-07-26 17:10:54.423497,2019-09-10 22:39:54.648297,1489304,Pull&Bear broderie short sleeved top in green,For your daytime thing,Model wears: UK S/ EU S/ US XS,Model's height: 173cm/5'8,"",Broderie anglaise. Embroidered eyelet fabric. It's a cute all-rounder.,Main: 95% Polyester,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,57.0,0.0
62,2019-07-26 17:10:54.420469,2019-09-10 22:39:54.687157,1421721,Wild Honey Maternity jumpsuit with shirred bodice in stripe,Done in one,Model wears: UK S/ EU S/ US S,Model's height: 173cm/5'8,"",Pure cotton. It's light and breathable.,Body: 100% Cotton.,"","The label may be small, but it's important. Hand wash only.",32.0,0.0
58,2019-07-26 17:10:54.40777,2019-09-10 22:39:54.365873,1477427,Stradivarius palazzo pant in yellow,For your daytime thing,Model wears: UK S/ EU S/ US S,Model's height: 174cm/5'8.5,"",Soft woven fabric,Main: 100% Polyester.  ,"","The label may be small, but it's important. Machine wash according to instructions on care label.",40.5,0.0
57,2019-07-26 17:10:54.404704,2019-09-10 22:39:55.052318,1455747,Pull&Bear pacific wrap top two-piece in green floral print,Part of a two-piece set,Model wears: UK 8/ EU 36/ US 4,Model's height: 174cm/5'8.5,"",Lightweight woven fabric,Main: 100% Viscose.  ,"",Avoid post-wash regrets. Always check the label.,30.0,0.0
59,2019-07-26 17:10:54.411005,2019-09-10 22:39:54.426527,1460863,Stradivarius boxy denim jacket in light blue,Cuz you're hot then you're cold,Model wears: UK S/ EU S/ US XS,Model's height: 179cm/5'10.5,"",Non-stretch denim. Thick.,Main: 100% Cotton.  ,"","Check the label before you wash it. Fresh looks are for life, not just one wash.",28.0,0.0
74,2019-07-26 17:10:54.458861,2019-09-10 22:39:54.496706,1421721,Wild Honey Maternity jumpsuit with shirred bodice in stripe,Done in one,Model wears: UK S/ EU S/ US S,Model's height: 173cm/5'8,"",Pure cotton. It's light and breathable.,Main: 95% Polyester,"","The label may be small, but it's important. Machine wash according to instructions on care label.",32.0,0.0
80,2019-07-26 17:10:54.47808,2019-09-10 22:39:54.793597,1454296,ASOS DESIGN denim wrap skirt with side buttons in black,An alternative to your jeans,Model wears: UK 8/ EU 36/ US 4,Model's height:  173 cm/5'8,"",Non-stretch denim. We partner with the Better Cotton Initiative to improve cotton farming globally.,Main: 100% Cotton.  ,"",Just here for the care instructions? We've got you covered. Hand wash only.,23.0,0.0
71,2019-07-26 17:10:54.449163,2019-09-10 22:39:54.937964,1495573,Pull&Bear Pacific crinkle swimsuit in orange,Pool rules,Model wears: UK S/ EU S/ US XS,Model's height: 171cm/5'7.5,"",Stretchy swim fabric. Goes great with your vacation.,Main: 93% Polyester  7% Spandex. ,"",Just here for the care instructions? We've got you covered. Hand wash only.,19.0,0.0
83,2019-07-26 17:10:54.487497,2019-07-26 17:10:54.487497,1400430,ASOS DESIGN maternity mix & match pyjama jersey pants,,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,Stretchy swim fabric,"",Main: 93% Polyester,"","",19.0,0.0
84,2019-07-26 17:10:54.491031,2019-07-26 17:10:54.491031,1495573,ASOS DESIGN maternity mix & match pyjama jersey pants,,Model wears: UK S/ EU S/ US XS,Model's height: 171cm/5'7.5,Stretchy swim fabric,Stretchy swim fabricGoes great with your vacation,Body: 100% Cotton.,10% Spandex  Main: 93% Polyester  7% Spandex.,Main: 93% Polyester  7% Spandex.,19.0,0.0
85,2019-07-26 17:10:54.494149,2019-07-26 17:10:54.494149,1470437,The North Face 92 Rage heavyweight long sleeve top in white,,Model wears: UK XS/ EU XS/ US XS,Model's height: 175 cm/5'9,"",Soft-touch jersey,Body: 100% Cotton,in other words Body: 100% Cotton.,Body: 100% Cotton.,40.0,0.0
90,2019-07-26 17:10:54.510324,2019-07-26 17:10:54.510324,1495573,ASOS DESIGN maternity mix & match pyjama jersey pants,,Model wears: UK S/ EU S/ US XS,Model's height: 171cm/5'7.5,Stretchy swim fabric,Stretchy swim fabricGoes great with your vacation,"",10% Spandex  Main: 93% Polyester  7% Spandex.,Main: 93% Polyester  7% Spandex.,19.0,0.0
